gene,CTLrep1,CTLrep2,CTLrep3,KOrep1,KOrep2,KOrep3
ENSMUSG00000051951.6,11,6,10,9,1,10
ENSMUSG00000102269.2,7,1,3,2,2,2
ENSMUSG00000102735.2,31,39,51,52,44,62
ENSMUSG00000102175.2,15,10,15,9,17,14
ENSMUSG00000103922.2,25,16,43,18,22,15
ENSMUSG00000033845.14,65,67,88,81,62,98
ENSMUSG00000025903.15,123,149,169,151,148,127
ENSMUSG00000033813.16,1710,1459,1983,1708,1785,1671
ENSMUSG00000062588.5,1265,1047,1483,1195,1155,1084
ENSMUSG00000033793.13,1295,1113,1669,1563,1590,1372
ENSMUSG00000025905.15,1,4,4,3,4,1
ENSMUSG00000025907.15,1404,1143,1524,1518,1668,1148
ENSMUSG00000103355.2,89,63,104,86,109,63
ENSMUSG00000103845.2,24,22,37,28,28,21
ENSMUSG00000033740.18,28,25,25,9,9,6
ENSMUSG00000104385.2,96,61,114,61,95,115
ENSMUSG00000102135.2,105,116,150,145,192,172
ENSMUSG00000051285.18,352,288,462,338,421,283
ENSMUSG00000098201.2,6,5,2,4,3,9
ENSMUSG00000048538.8,2129,2145,2776,2553,2208,2870
ENSMUSG00000084353.2,301,235,310,268,338,313
ENSMUSG00000103933.2,44,38,47,38,58,105
ENSMUSG00002075967.1,1,8,10,5,3,5
ENSMUSG00000104504.2,1,2,6,1,2,1
ENSMUSG00000066693.3,18,25,30,21,28,29
ENSMUSG00000101571.3,5,5,8,4,12,9
ENSMUSG00000061024.9,117,109,146,114,111,143
ENSMUSG00000081441.4,113,84,118,112,100,97
ENSMUSG00000025912.17,31,20,48,36,27,20
ENSMUSG00000045210.9,630,468,688,675,649,439
ENSMUSG00000025915.15,47,32,44,48,34,28
ENSMUSG00000046334.5,8,13,7,9,11,20
ENSMUSG00000025917.10,1124,1057,1399,1276,1242,1254
ENSMUSG00000056763.17,42,37,47,35,44,47
ENSMUSG00000067851.12,2159,1766,2293,2169,2374,1646
ENSMUSG00000083422.2,585,518,617,492,591,657
ENSMUSG00000048960.14,12,8,9,7,10,8
ENSMUSG00000057715.14,20,20,20,27,32,15
ENSMUSG00000101610.2,30,25,23,28,42,34
ENSMUSG00000097628.2,2,2,4,1,1,2
ENSMUSG00000016918.16,9,3,4,14,11,6
ENSMUSG00000025938.17,91,65,93,96,110,82
ENSMUSG00000005886.15,800,614,826,805,772,675
ENSMUSG00000025935.11,162,125,204,179,169,187
ENSMUSG00000025932.15,1,1,7,7,8,3
