gene,CTLrep1,CTLrep2,CTLrep3,KOrep1,KOrep2,KOrep3
ENSMUSG00000102693.2,0,0,0,0,0,0
ENSMUSG00000064842.3,0,0,0,0,0,0
ENSMUSG00000051951.6,11,6,10,9,1,10
ENSMUSG00000102851.2,0,0,0,0,0,0
ENSMUSG00000103377.2,0,0,0,0,0,0
ENSMUSG00000104017.2,0,0,0,0,0,0
ENSMUSG00000103025.2,0,0,0,0,0,0
ENSMUSG00000089699.2,0,0,0,0,0,0
ENSMUSG00000103201.2,0,0,0,0,0,0
ENSMUSG00000103147.2,0,1,0,3,5,2
ENSMUSG00000103161.2,0,0,0,0,0,0
ENSMUSG00000102331.2,0,0,0,0,0,0
ENSMUSG00000102348.2,0,0,0,0,0,0
ENSMUSG00000102592.2,0,0,0,0,0,0
ENSMUSG00000088333.4,0,0,0,0,0,0
ENSMUSG00000102343.2,0,0,0,0,0,0
ENSMUSG00000025900.14,0,0,0,0,0,0
ENSMUSG00000102948.2,2,4,2,0,2,2
ENSMUSG00000104123.2,0,0,0,0,0,0
ENSMUSG00000025902.14,4,6,3,0,1,3
ENSMUSG00000104238.2,0,0,0,0,0,0
ENSMUSG00000102269.2,7,1,3,2,2,2
ENSMUSG00000118917.1,0,0,1,1,0,1
ENSMUSG00000103003.2,0,0,0,0,0,0
ENSMUSG00000104328.2,0,0,0,0,0,0
ENSMUSG00000102735.2,31,39,51,52,44,62
ENSMUSG00000098104.2,0,0,0,0,0,0
ENSMUSG00000102175.2,15,10,15,9,17,14
ENSMUSG00002075947.1,0,0,0,0,0,0
ENSMUSG00000103265.2,0,0,0,0,0,0
ENSMUSG00000103922.2,25,16,43,18,22,15
ENSMUSG00000033845.14,65,67,88,81,62,98
ENSMUSG00000102275.2,0,0,0,0,0,0
ENSMUSG00000120403.1,0,0,0,0,0,0
ENSMUSG00000025903.15,123,149,169,151,148,127
ENSMUSG00000104217.2,0,0,0,0,0,0
ENSMUSG00000033813.16,1710,1459,1983,1708,1785,1671
ENSMUSG00000062588.5,1265,1047,1483,1195,1155,1084
ENSMUSG00000103280.2,0,0,0,0,0,0
ENSMUSG00000002459.18,0,0,0,0,0,0
ENSMUSG00000091305.2,0,0,0,0,0,0
ENSMUSG00000102653.2,0,0,0,0,0,0
ENSMUSG00000085623.2,0,0,0,0,0,0
ENSMUSG00000091665.2,0,0,0,0,0,0
ENSMUSG00000033793.13,1295,1113,1669,1563,1590,1372
ENSMUSG00000104352.2,0,0,0,0,0,0
ENSMUSG00000104046.2,0,0,0,0,0,0
ENSMUSG00000102907.2,0,0,0,0,0,0
ENSMUSG00000025905.15,1,4,4,3,4,1
ENSMUSG00000103936.2,0,0,0,0,0,0
ENSMUSG00002076544.1,0,0,0,0,0,0
ENSMUSG00000103519.2,0,0,0,0,0,0
ENSMUSG00000033774.5,0,0,0,0,0,0
ENSMUSG00000103090.2,0,0,0,0,0,0
ENSMUSG00000090031.4,0,0,0,0,0,0
ENSMUSG00000025907.15,1404,1143,1524,1518,1668,1148
ENSMUSG00000087247.4,0,0,0,0,0,0
ENSMUSG00000103355.2,89,63,104,86,109,63
ENSMUSG00000102706.2,0,0,0,0,0,0
ENSMUSG00000103845.2,24,22,37,28,28,21
ENSMUSG00000033740.18,28,25,25,9,9,6
ENSMUSG00000103329.3,0,0,0,0,0,0
ENSMUSG00000104385.2,96,61,114,61,95,115
ENSMUSG00000102135.2,105,116,150,145,192,172
ENSMUSG00000103282.2,0,0,0,0,0,0
ENSMUSG00000102534.2,0,0,0,0,0,0
ENSMUSG00000102213.2,0,0,0,0,0,0
ENSMUSG00000103629.2,0,0,0,0,0,0
ENSMUSG00000120372.1,0,0,0,0,0,0
ENSMUSG00000051285.18,352,288,462,338,421,283
ENSMUSG00000098201.2,6,5,2,4,3,9
ENSMUSG00000103509.2,0,0,0,0,0,0
ENSMUSG00000048538.8,2129,2145,2776,2553,2208,2870
ENSMUSG00000103709.2,0,0,0,0,0,0
ENSMUSG00000077244.3,0,0,0,0,0,0
ENSMUSG00000102768.2,0,0,0,0,0,0
ENSMUSG00000097797.7,0,0,0,0,0,0
ENSMUSG00000103498.2,0,0,0,0,0,0
ENSMUSG00000103067.2,0,0,0,0,0,0
ENSMUSG00000102320.2,0,0,0,0,0,0
ENSMUSG00000104226.2,0,2,1,1,1,0
ENSMUSG00000103903.2,0,0,0,0,0,0
ENSMUSG00000103557.2,0,0,0,0,0,0
ENSMUSG00000025909.17,0,0,0,0,0,0
ENSMUSG00000102647.2,0,0,0,0,0,0
ENSMUSG00000086235.2,0,0,0,0,0,0
ENSMUSG00000102253.2,0,0,0,0,0,0
ENSMUSG00002074990.1,0,0,0,0,0,0
ENSMUSG00000103884.2,0,0,0,0,0,0
ENSMUSG00000084353.2,301,235,310,268,338,313
ENSMUSG00000103933.2,44,38,47,38,58,105
ENSMUSG00002075967.1,1,8,10,5,3,5
ENSMUSG00000086195.2,2,0,0,0,0,0
ENSMUSG00000104504.2,1,2,6,1,2,1
ENSMUSG00000066693.3,18,25,30,21,28,29
ENSMUSG00000102316.2,0,0,0,0,0,0
ENSMUSG00000103819.2,0,0,0,0,0,0
ENSMUSG00000102871.2,0,0,0,0,0,0
ENSMUSG00000101571.3,5,5,8,4,12,9
ENSMUSG00000104428.2,0,0,0,0,0,0
ENSMUSG00000102272.2,0,0,0,0,0,0
ENSMUSG00000065625.3,0,0,0,0,0,0
ENSMUSG00000103411.2,0,0,0,0,0,0
ENSMUSG00000061024.9,117,109,146,114,111,143
ENSMUSG00000025911.15,0,0,0,0,0,0
ENSMUSG00000079671.10,0,0,0,0,0,0
ENSMUSG00000081441.4,113,84,118,112,100,97
ENSMUSG00000067879.4,0,0,0,0,0,0
ENSMUSG00000099827.2,0,0,0,0,0,0
ENSMUSG00000025912.17,31,20,48,36,27,20
ENSMUSG00000045210.9,630,468,688,675,649,439
ENSMUSG00000097893.10,0,0,0,0,0,0
ENSMUSG00000025915.15,47,32,44,48,34,28
ENSMUSG00000046334.5,8,13,7,9,11,20
ENSMUSG00002075801.1,0,0,0,0,0,0
ENSMUSG00000098234.9,0,0,0,0,0,0
ENSMUSG00000046101.17,0,3,0,0,0,0
ENSMUSG00000093178.3,0,0,0,0,0,0
ENSMUSG00000099032.3,2,0,0,0,0,0
ENSMUSG00000104025.2,0,0,0,0,0,0
ENSMUSG00000025916.11,0,0,0,0,0,0
ENSMUSG00000087199.2,0,0,0,0,0,0
ENSMUSG00000121270.1,0,0,0,0,0,0
ENSMUSG00000119658.1,0,0,0,0,0,0
ENSMUSG00000025917.10,1124,1057,1399,1276,1242,1254
ENSMUSG00000056763.17,42,37,47,35,44,47
ENSMUSG00000102356.2,0,0,0,0,0,0
ENSMUSG00000067851.12,2159,1766,2293,2169,2374,1646
ENSMUSG00002076532.1,0,0,0,0,0,0
ENSMUSG00000102556.2,0,0,0,0,0,0
ENSMUSG00000042501.13,0,0,0,0,0,0
ENSMUSG00000103810.2,0,0,0,0,0,0
ENSMUSG00000083422.2,585,518,617,492,591,657
ENSMUSG00000119312.1,0,0,0,0,0,0
ENSMUSG00000081417.2,0,0,0,0,0,0
ENSMUSG00000103448.2,0,0,0,0,0,0
ENSMUSG00000100212.2,1,0,1,0,0,1
ENSMUSG00000100648.2,0,0,0,0,0,0
ENSMUSG00002076499.1,0,0,0,0,0,0
ENSMUSG00000048960.14,12,8,9,7,10,8
ENSMUSG00000077318.3,0,0,0,0,0,0
ENSMUSG00000101827.2,0,0,0,0,0,0
ENSMUSG00000103494.2,0,0,0,0,0,0
ENSMUSG00000057715.14,20,20,20,27,32,15
ENSMUSG00000103825.2,0,0,0,0,0,0
ENSMUSG00000099845.2,0,0,0,0,0,0
ENSMUSG00000103561.2,0,0,0,0,0,0
ENSMUSG00000101610.2,30,25,23,28,42,34
ENSMUSG00000118923.1,0,0,0,0,1,0
